id,premise,hypothesis,lang_abv,language,label
00c0cdf348,Lạnh hơn và xa hơn bao giờ hết đã phát triển tiếng nói của lãnh chúa.,Giọng của Chúa cảm thấy thật xa xôi và lạnh lẽo,vi,Vietnamese,0
6c2527b960,"Trong trường hợp của Mỹ 11, thông tin liên lạc bình thường cuối cùng từ máy bay lúc 8:13 sáng.",Không có bất cứ thông tin liên lạc gì từ American 11.,vi,Vietnamese,2
ceedd25541,"Nếu ai có ấn bản năm 1984, anh ta có thể sẽ phẫn nộ vì phải mua cuốn đó chứ không phải là một bản nhỏ hơn (và ít tốn kém hơn).",Phụ phí rẻ hơn sách.,vi,Vietnamese,0
162467ddeb,"Chắc chắn là FDNY không chịu trách nhiệm về việc quản lý phản ứng của Thành phố đối với trường hợp khẩn cấp, như chỉ thị của Thị trưởng đã yêu cầu.",Việc quản lý phản ứng của Thành phố đã được xử lý bởi tổ chức khác ngoài FDNY.,vi,Vietnamese,0
9752c3f911,Thời gian dành cho phụ huynh và trẻ em ở bên nhau là bước đầu tiên để thực hiện các ý tưởng và thực hành mà tôi sẽ thảo luận trong cuốn sách này.,"Trong cuốn sách này, tôi sẽ đề cập đến các chủ đề mà phụ huynh và con cái của họ có thể thực hiện trong khi dành thời gian bên nhau.",vi,Vietnamese,0
aea519b02b,Tôi đột ngột bình luận về Mary Hoàng gia....,Tôi đã đến qua Royal Mary.,vi,Vietnamese,0
f0c6c36fcc,Nhóm bảo mật thông tin thực hiện từ 8 đến 12 phiên mỗi tháng.,Nhóm an ninh tiến hành nhiều khoá  trong một năm.,vi,Vietnamese,0
d7b120439c,"Năm 1998, Clarke chủ trì một bài tập được thiết kế để làm nổi bật sự thiếu chính xác của giải pháp.",Clarke muốn chứng tỏ cho mọi người thấy rằng chính sách di dân đang thất bại.,vi,Vietnamese,1
1b17c0770d,"Đó là sự thật, đồ ngốc.",Tất cả những gì tôi nói là sự thật.,vi,Vietnamese,1
9b35b61b99,Bốn mươi bốn dự án thí điểm đã gửi báo cáo về vòng biểu diễn đầu tiên vào năm 1995.,"Có nhiều chương trình thí điểm hơn, nhưng chỉ có 44 báo cáo được gửi đến.",vi,Vietnamese,1
d19b24b928,Ông ta đủ tuổi để làm bố tôi.,Anh ấy hơn tôi 27 tuổi.,vi,Vietnamese,1
a964b73cb9,"Để đánh giá cao sự đóng góp của bạn từ 100 đô la trở lên cho chiến dịch, bạn và một vị khách được mời tham dự một buổi gặp đặc biệt vào Thứ Năm, 23 tháng Ba từ 5: 30- 8:00 tối tại Herron Hall.",Các món ăn ngon và rượu champagne sẽ được phục vụ tại quầy lễ tân.,vi,Vietnamese,1
a733b5834e,Tôi sẽ không bị ảo tưởng bởi những gì Wolverstone nói.,"Như đã nói nhiều lần trước đây, Wolverstone là một gã giản dị, ít nói.",vi,Vietnamese,1
fb939d82cd,"Vào tháng Năm hoặc tháng Sáu, Clarke đã yêu cầu được chuyển từ bộ trương chống khủng bố sang một bộ mới phụ trách về an ninh mạng.",Clarke muốn chuyển sang lĩnh vực an ninh mạng vì giờ làm việc thuận tiện hơn.,vi,Vietnamese,1
654959615d,Các bậc phụ huynh bó tay trong tuyệt vọng và tìm kiếm sự che chở của cha mẹ hoặc ông bà của chính mình để có cái nhìn chân thật hơn sẽ tự đẩy mình vào thế kẹt với cùng câu hỏi hóc búa ấy.,"Bây giờ và một lần nữa, một số phụ huynh sẽ cố gắng tìm một cách tốt hơn từ cuộc sống của cha mẹ mình.",vi,Vietnamese,0
737f2517ce,"Sau khi không phận mở cửa trở lại, chín chuyến bay với 160 người, chủ yếu là công dân Saudi, khởi hành từ Hoa Kỳ từ ngày 14 đến 24 tháng 9.",Cũng có vài chục người quốc tịch Anh rời khỏi đất nước.,vi,Vietnamese,1
3c589dbd13,"Chính vì cô ta mà chúng ta bị mắc vào cái bẫy này, Ogle xông vào.",Ogle nghĩ rằng tình trạng bệnh tật của họ là lỗi của cô ấy.,vi,Vietnamese,0
6c255e7d10,Cuối cùng anh ta nói: Kẻ giết người--tôi sao?,"Ngay lập tức, anh ấy nói, A đã sát hại, I.",vi,Vietnamese,2
8df0bbfc44,"Bộ phim cũng bao gồm Chiến dịch Infinite Resolve, một loạt các cuộc tấn công tiếp theo được đề xuất về các mục tiêu al-Qaeda tại Afghanistan.",Có nhiều kế hoạch đã được vạch ra sau nhiều cuộc đình công chống lại al Qaeda.,vi,Vietnamese,0
790431b086,khoảng 20 phút,Tôi nghĩ nó gần 20 phút nhưng tôi không chắc.,vi,Vietnamese,1
4d3f957dbe,"Hoa Kỳ bảo vệ, và vẫn bảo vệ, người Hồi giáo chống lại bạo chúa và tội phạm ở Somalia, Bosnia, Kosovo, Afghanistan và Iraq.",Những bạo chúa này thường thích đội mũ xanh.,vi,Vietnamese,1
f867d8d954,"Công nghệ, mặc dù xem như cần thiết, đã gây ra thôi miên chúng ta",Công nghệ đã khiến cách chúng tôi thu thập thông tin nhanh đến tốc độ mà chúng tôi chưa từng thấy.,vi,Vietnamese,1
b948a5e411,Ý nghĩa của số phận chung là hư không được thể hiện rõ hơn so với người Do Thái Kol Jehudim eruvim ze bze [Tất cả người Do Thái đều chịu trách nhiệm với nhau].,Người Do thái không giúp đỡ mọi người.,vi,Vietnamese,2
e40b1e0e73,"Rudolph Giuliani bênh vực trước Newsweek về việc ông xử lý vụ bắn Amadou Diallo. [Sở Cảnh sát New York] không phải KKK, ông cho biết.",Mọi người không hài lòng với cách NYPD xử lý vụ bắn Amadou Diallo.,vi,Vietnamese,1
b16fad8ac0,"Đối với các cảnh báo của Ballinger, xem cuộc phỏng vấn Ed Ballinger (ngày 14 tháng 4 năm 2004).",Ông ấy cảnh báo người phỏng vấn rằng sẽ có một cuộc tấn công có chủ đích  vào tháng Năm.,vi,Vietnamese,1
60609078fe,"Chi phí của việc tạo ra những ngôi nhà này vượt xa những gì người mua của chúng tôi trả tiền, vì vậy chúng tôi dựa vào các khoản tài trợ và các khoản quyên góp cá nhân để giữ cho chúng có giá cả phải chăng.",Tạo ngôi nhà hoàn toàn miễn phí.,vi,Vietnamese,2
66bf537a80,"Để thấy được một vài tác động của Cluny đối với vùng nông thôn xung quanh, hãy ghé thăm một vài ngôi làng có nhà thờ La Mã được các kiến trúc sư của Cluny xây dựng và trong số đó có Saint-Vincent-des-Pres, Taize, Berze-la-Ville và Malay.",Thăm một vài ngôi làng.,vi,Vietnamese,0
9df3e654ce,"uh-huh um vâng, quần áo chúng ta cũng bị đánh thuế.",Có thuế bán hàng trên quần áo.,vi,Vietnamese,0
a00ea6ec42,"Và nếu cậu không phải kẻ ngốc, Ogle, tôi đã không phải giải thích điều này cho cậu.",Ogle ngu ngốc khi tin vào sự tồn tại của Santa Claus.,vi,Vietnamese,1
722982271f,"Vào ngày Giáng sinh, trẻ em đã gõ cửa và thăm nhà, yêu cầu và nhận kẹo hoặc đồ chơi nhỏ.",Trẻ em mang theo những chiếc túi lớn để lấy kẹo và đồ chơi vào Ngày Giáng Sinh.,vi,Vietnamese,1
969f5e5d46,"Người phương Tây đầu tiên đến Hawaii là Đại úy James Cook, chỉ huy người Anh có nhiệm vụ là để giải tán Northern Passage huyền thoại nối liền Đại Tây Dương và Thái Bình Dương.",James Cook chưa từng đi tới phía tây của California.,vi,Vietnamese,2
31ed7346e6,"Tôi rất vui khi gửi cho bạn lời mời này để tham gia vòng tròn bên trong Thượng nghị sĩ đảng Cộng hòa để kỷ niệm tinh thần của chúng tôi tại Công ước Quốc gia Cộng hòa của chúng tôi tại Houston, Texas, ngày 16-20 tháng 8.",Công ước Quốc gia Cộng hòa chỉ có ở Houston một lần.,vi,Vietnamese,1
9dd6ed73c9,"Và, tất nhiên, những di tích vĩ đại cho sự hiểu biết về tự do của thế kỷ 18 là Hiến pháp và Tuyên ngôn Nhân quyền.",Không ai trong thế kỷ thứ mười tám hiểu tự do.,vi,Vietnamese,2
6f6a43fbad,"Một khi các quyết định này được đưa ra, tổ chức CIO phải cung cấp hỗ trợ đáp lại, hiệu quả thông qua phân bổ nguồn lực hiệu quả và thực hiện các trách nhiệm hàng ngày của nó.",CIO không tham gia vào các quyết định phân bổ nguồn lực.,vi,Vietnamese,2
afe9261b7e,Thánh giá được cho là nặng 181.740 tấn.,Cây thập tự được làm bằng đá rắn.,vi,Vietnamese,1
42e9b5cdbf,"Năm ngoái, bạn đã hào phóng quyên góp $ -.",Bạn quyên góp tiền vào năm ngoái.,vi,Vietnamese,0
af0ffc7a16,P. S. Một tặng phẩm cống hiến cho IMA là cho một món quà kỳ nghỉ tuyệt vời.,Một khoản quyên góp để vinh danh một người nào đó sẽ tạo ra một món quà tuyệt vời cho những ngày nghỉ lễ.,vi,Vietnamese,0
0feed160e6,và nó vẫn làm tôi sợ,Tôi chỉ hơi sợ một chút.,vi,Vietnamese,1
57e2648712,"Sau đó, vẫn là người đại diện đã thực hiện chuyến thăm đầu tiên, đến gặp lại nhà cung cấp mới để trả lời các câu hỏi và thảo luận bất kỳ vấn đề nào được nêu trong mẫu khiếu nại.",Có một cuộc viếng thăm của một đại diện.,vi,Vietnamese,0
4df1b3c861,"Em gái tôi đã từng hẹn hò với một thanh niên vạm vỡ, người đam mê nhiệt tình của Đại học Iowa, nơi có các đội thể thao được gọi là Hawkeyes.",Chị gái tôi là một nữ tu và chưa bao giờ hẹn hò với một người đàn ông.,vi,Vietnamese,2
e76b7a2bc9,bạn đang nói giáo viên hay bố mẹ,Bạn ngụ ý gì về cha mẹ và các giáo viên?,vi,Vietnamese,1
5c3a484144,"Đối với các EGU bị ảnh hưởng cho năm 2010 và mỗi năm sau đó, Quản trị viên sẽ phân bổ các khoản trợ cấp thủy ngân theo mục 474 và tiến hành đấu giá các khoản phụ cấp thủy ngân theo mục 409, theo các số liệu trong Bảng A.",Hạn chế lượng thủy ngân trong hải sản.,vi,Vietnamese,1
9280cbbc47,tôi không biết nhưng tôi vẫn nghĩ như ở ngoài đất nước khi cô ấy nói rằng tôi giống như những gì đó,Tôi tin rằng nó đã được ra trong nước.,vi,Vietnamese,0
dc9bde39be,"Vùng Tây Nam với phong tục cưới được nghiên cứu và ghi chép nhiều nhất là New Mexico, bởi vì hậu duệ của những người Hispanos đầu tiên đã có ý thức mô tả và viết ra truyền thống của họ.",Không còn tài liệu của truyền thống của Hispanos cổ.,vi,Vietnamese,2
cda272928e,"Các dịch giả của Kinh Thánh King James đã dịch Kinh Thánh cho một khán giả Cơ đốc giáo; cho họ, Kinh Thánh bao gồm Cựu ước và Tân ước.",Kinh Thánh King James chỉ được làm riêng cho một người theo đạo thiên chúa.,vi,Vietnamese,1
9f2cfb979e,"Trên mép đá ở phía sau một khe hàm ếch, có một chiếc xe hơi màu đen đã nát vụn và một cái phao câu cá màu hồng tươi, trông chỉ bé như món đồ chơi khi so với khối đá.",Kích thước khổng lồ của chiếc xe làm cho tảng đá trông như một hòn đá nhỏ.,vi,Vietnamese,2
3c9adc4b33,"Khi băng qua chúng, bạn có thể thấy một ống khói cũ vỡ nát nằm phía trên hàng cây, một dấu hiệu chắc chắn rằng ngôi làng đã từng là một phần của đồn điền.",Các ống khói cho biết ngôi làng là một phần của khu trang trại.,vi,Vietnamese,0
d7e5f21c60,"'Điều đáng chú ý là sự bất thường này vẫn còn tồn tại, ngay cả trong nhiều nguồn hiện đại.","Sự hỏng hóc bất thường này có thể được sửa chữa, nhưng chi phí sẽ cao đấy.",vi,Vietnamese,1
5c7b48923c,"Tôi đã giết anh ta, nó là sự thật.",Một người đã bị giết.,vi,Vietnamese,0
e54f205e88,"Ví dụ đơn giản, giả sử chi phí cho việc tính toán là 10a và chi phí của thư cơ bản là 16a.",Chi phí của thư cơ bản thường đòi hỏi nhiều hơn công việc được chia sẻ.,vi,Vietnamese,1
720d60e041,Sự tưởng tượng không phải là quà mà thông thường liên quan tới quan liêu.,Các quan liêu thường không giàu trí tưởng tượng.,vi,Vietnamese,0
2cc83b3874,Những nơi đáng tham quan khác bao gồm nhà của Balzac (47 Rue Raynouard) và studio của Delacroix (6 Rue de Furstenberg).,Nhà của Balzac và studio của Delacroix không có ở địa điểm này.,vi,Vietnamese,2
d056374191,Ngày càng có nhiều bằng chứng chứng minh rằng các can thiệp của khoa cấp cứu có hiệu quả và điều trị sơ cứu đó có thể có tác dụng.,Giới thiệu từ Bộ phận Cấp cứu có thể sử dụng được.,vi,Vietnamese,0
ddb8d3db83,bạn có bạn có cắm trại hoang dã không,Tôi nghĩ bạn đã đi đến trại.,vi,Vietnamese,1
5c0c3aaf1a,"(Trước khi tiếp tục, người đọc cũng có thể muốn thử thành tích này).","Trước khi tiến lên, người đọc có thể muốn thử thách này.",vi,Vietnamese,0
7b493b960e,Tòa án không phải là rạp xiếc chính trị duy nhất ở Washington sáng nay.,Tòa án không phải là nơi chính trị duy nhất ở washington.,vi,Vietnamese,0
0f69e3c7bd,"Gorges d'Apreamont (gần thị trấn nhỏ Barbizon, nổi tiếng như là một ám ảnh của phong cảnh thế kỷ 19 của các họa sĩ) không đông đúc.",Chỉ có 10 người ở Gorges d'Apreamont.,vi,Vietnamese,1
be035f5cd6,"Dù sao đi nữa, tôi nghĩ tôi đã nói chuyện với Ramona một lần nữa.",Tôi chưa bao giờ nói chuyện với Ramona.,vi,Vietnamese,2
443efeaf27,"Nguyên tắc chung của quyền đối xử bình đẳng, như chúng ta đã xây dựng, dựa vào nó để đưa ra lập luận hạn chế quyền tự do ngôn luận.",Tất cả đều đồng ý về tự do ngôn luận.,vi,Vietnamese,2
25af34dd0d,Shakur đã được xác định là Farid Hilali bởi các nhà chức trách Tây Ban Nha.,"Shakur không đi theo bất kì cái tên nào khác, bởi vì anh ta không nổi tiếng lắm.",vi,Vietnamese,2
14d061ba12,"Từ năm trang xác nhận cá nhân (trái ngược với hai trang của thư mục), rõ ràng là từ điển dựa phần lớn vào nghiên cứu ban đầu.",Tác giả của quyển từ điển này đã thực hiện rất tốt việc tư liệu hoá và ghi nhận các nghiên cứu đã được áp dụng vào thực tế.,vi,Vietnamese,1
8c09e36b8d,Tôi có nên đặt một bộ cho bản thân mình không?,Bộ này là rất tốn kém.,vi,Vietnamese,1
a4076c657a,"Nhiều nhân viên PAPD cũng đã leo lên tháp phía Nam, bao gồm cả đội ESU PAPD.",Tất cả các nhân viên PAPD đã được lệnh phải chờ đợi trên mặt đất cho đến khi có thông báo mới.,vi,Vietnamese,2
50f185405a,"Vâng, dù rằng tôi vẫn hoài nghi các cư dân Madrid và Atlanta thích sự hiện đại nhưng vẫn tiếc nuối những nét truyền thống đã mất.",Cư dân của Madrid và Atlanta thực tập truyền thống của họ tại nhà một cách bí mật.,vi,Vietnamese,1
942ca8b008,"Biển chỉ đến được khi đi qua những con đường hẹp và đường mòn nông trại, nhưng nó đáng để đi bộ để tránh xa đám đông.",Đại dương có những con đường nhỏ rộng 2 feet dẫn đến nó.,vi,Vietnamese,1
b04b3f17b1,"Khi DOT tịch thu tài sản của anh ấy, chúng tôi đã chuyển đến một khu phố nhỏ hơn, nhỏ hơn ở Concord, nơi không cho phép động vật vì đã được khoanh vùng và từ đó chấm dứt câu chuyện về động vật.",Chúng tôi bán tất cả các con vật khi chuyển đến Concord.,vi,Vietnamese,1
4f0cee7739,"Biểu diễn trước hơn 6.500 sinh viên từ K-12, cho các hội nghị chuyên nghiệp của tiểu bang, cho sự kiện truyền thông Pan-Am và cho Hoa Kỳ",Sẽ chỉ có ba nghìn sinh viên từ K-12.,vi,Vietnamese,2
05a85218f7,Pulse-tone không phải là thuật ngữ kỹ thuật.,Nói dông dài về kỹ thuật không phải là điều hay.,vi,Vietnamese,0
f12054ef1f,"Các ngọn lởm chởm của Montserrat mọc ra từ đồng bằng không điểm nhấn Llobregat 62 ki lô mét (38 dặm) phía tây bắc Barcelona, trong trái tim của Catalonia.",Montesserat là vùng đất núi.,vi,Vietnamese,0
042626ee07,Hậu quả cuối cùng của sự từ chức của Livingston là nó đã cho phép Clinton xuất hiện một cách hào hùng.,Việc Livingston từ chức dường như đã khiến tổng thống Clinton được tha thứ.,vi,Vietnamese,0
4ecd3d5876,"Tuy nhiên, email của nhà phân tích phản ánh rằng cô đang bối rối một loạt các rào cản và rào cản pháp lý đối với việc chia sẻ thông tin và các quy tắc điều chỉnh việc sử dụng thông tin của các nhân viên tội phạm thu thập thông qua các kênh tình báo.",Nhà phân tích đã không rõ ràng về nhiều thứ.,vi,Vietnamese,0
e3099d22d4,Một số nhân viên dân sự Port Authority vẫn ở trên các tầng cao khác nhau để giúp người dân bị mắc kẹt và giúp đỡ trong cuộc di tản.,Một số nhân viên của Port Authority hy sinh mạng sống của họ để giúp dân thường sơ tán.,vi,Vietnamese,1
4f91c51115,"Điều đó cũng đúng với những nhà Hoosiers nổi tiếng như James Whitcomb Riley, Eugene V. Debs và Madam C.J.",Eugene Debs chưa từng rời California.,vi,Vietnamese,2
7491d93729,buscarle la quinta pata al gato để tìm chân thứ năm của mèo rất phổ biến với ý nghĩa để tìm kiếm rắc rối,Có thành ngữ về chân thứ năm của mèo.,vi,Vietnamese,0
edaab91938,"Đi dạo nhàn nhã, anh ta bước chân vào bức tường được dựng lên, và đi qua những cánh cổng lớn vào sân.","Vì những cánh cổng lớn bị khóa, anh ta nhảy qua hàng rào, vào sân.",vi,Vietnamese,2
a02074feaf,Bạn có thể mua một số trong số này để làm cho dòng riêng của bạn của các đầu hồi hẹp,Bạn có thể mua những cái chóp đó cho mái nhà của bọn gia súc.,vi,Vietnamese,1
86897bd077,Quan trọng nhất là việc tham dự buổi biểu diễn tại IRT không chỉ là một chuyến đi thực địa.,Tham dự buổi biểu diễn tại IRT sẽ là một sự nghỉ ngơi tuyệt vời từ đống công việc và suy nghĩ mệt nhọc.,vi,Vietnamese,2
3bc59cf043,"Khi nghe trại đóng cửa, anh ta và những người khác đi đến trại al Faruq gần Kandahar, nơi họ được huấn luyện nhiều hơn.",Vài người đã được huấn luyện gần Kandahar.,vi,Vietnamese,0
a82bc8b152,"Nhưng với tất cả các quảng cáo ngông cuồng mới lạ, bảo tàng đã không quên sự quyến rũ của những chiếc xe cổ mới toanh và, trên tất cả, những khối khổng lồ động cơ tàu hỏa cũ từ thời đại hơi nước thực sự tạo ra bởi Canada.",Viện bảo tàng có 100 chiếc xe hơi.,vi,Vietnamese,1
d5dc59641b,"Vịnh lớn nhất trên bờ biển phía tây bắc trở thành một bến cảng tốt, nhưng điều này có thể làm ô nhiễm cả nguồn nước và bải biển.",Nước và bãi biển có thể bị bẩn.,vi,Vietnamese,0
d40352be05,Trang web Lịch sử Tự nhiên Smithsonian (cuộn trang xuống hai hoặc ba lần),Viện Smithsonian đã hiện diện trên Internet.,vi,Vietnamese,0
b8c0ea33e8,"Vào ngày 9 tháng 9, những tin tức đầy kịch tính đến từ Afghanistan.",Chúng tôi được thông báo về cuộc tấn công sắp xảy ra vào ngày 9 Tháng 9.,vi,Vietnamese,1
42982f88a5,"Nhưng khi cô lớn lên, ừm, cô không bao giờ thừa nhận rằng cô đã sai nhưng cô đã thay đổi hành vi của mình.",Cô ấy chưa bao giờ nói rằng cô đã đúng về vụ bánh mì thịt.,vi,Vietnamese,1
78de2dd5d1,Sonja đứa trẻ bắt đầu bắt chước cơn giận dữ của con gái mình.,Sonja đã bực mình.,vi,Vietnamese,1
e5cbe3a2c6,"Việc bảo vệ các phương tiện giao thông, năng lượng, dịch vụ khẩn cấp, dịch vụ tài chính và hệ thống truyền thông ngày càng trở nên quan trọng vì chúng phụ thuộc rất nhiều vào công nghệ thông tin.",Các dịch vụ tài chính và hệ thống thông tin liên lạc vẫn chưa tham gia vào lĩnh vực công nghệ thông tin.,vi,Vietnamese,2
f99eba08ef,"Bạn có thể thấy bằng cách đọc mã, bạn tôi rằng vẫn còn nhiều lợi thế về thuế của liên bang và tiểu bang để đóng góp từ thiện.",Đóng góp từ thiện sẽ có lợi trực tiếp cho chính bạn.,vi,Vietnamese,1
7c9bafb89e,Số liệu thống kê các tuyến đường nông thôn được trình bày trong bài báo này dựa trên dữ liệu Số lượng bưu chính quốc gia năm 1989,Số liệu thống kê trong bài báo này dựa trên báo cáo năm 2001.,vi,Vietnamese,2
883ee0f8f5,"Tôi đã cho ra mắt Indianapolis  của tôi với vai trò là một đạo diễn sân khấu, một tháng trước khi có Inherit the Wind, một cổ điển của sân khấu Mỹ, đã được tham dự bởi hơn 5.500 học sinh trung học cơ sở và trung học.",Tôi đã đạo diễn những vở kịch khác kể từ đó.,vi,Vietnamese,1
1bb9464ad7,"Xem các báo cáo tình báo, thẩm vấn của KSM, ngày 1 tháng 7 năm 2003; 5 tháng 9 năm 2003.",KSM bị chất vấn năm 2003.,vi,Vietnamese,0
66a71eb0c4,", Regional Haze RIA và NOx SIP Call RIA), lợi ích thấp nhất ước tính giả định rằng ngưỡng tác động sức khỏe PM ở mức 15 :g/m3.",Họ đã có ước tính sơ bộ về lợi ích nhưng có thể là sai.,vi,Vietnamese,1
0bcc189d8f,"Và nghỉ ngơi dễ dàng, cô Dalrymple, khi tôi biên tập lại các kịch bản phát biểu để in ấn ấn phẩm, tôi luôn trở lại với cách sử dụng tiếng Anh học thuật thuần túy.",Tôi sửa lại các bài phát biểu.,vi,Vietnamese,0
2ac8dbf741,"Nancy Griffin viết trong Hollywood Strikes Back rằng Michael Eisner đã mở rộng chi nhánh ô liu cho người bạn cũ Mike Ovitz, nhưng Ovitz từ chối chấp nhận nó.",Mike Ovitz và Michael Eisner là bạn thân và đối tác kinh doanh tốt nhất trong suốt cuộc đời của họ.,vi,Vietnamese,2
aee633d197,"Thuyền trưởng, ông nói, và khi ông nói ông chỉ vào các tàu đang đuổi theo, Đại tá Giám mục nắm giữ chúng tôi.",Các con tàu phía sau họ thuộc về bạn bè.,vi,Vietnamese,2
02fb88372f,không nhất thiết phải là nó có thể là ở trong nhà những người giúp bạn xử lý khoản tiền X đô la đó,Họ không bao giờ sử dụng người trong nhà để hỗ trợ bạn.,vi,Vietnamese,2
